iter	Passed	Remaining
482	2934	3140
483	2943	3138
484	2961	3144
485	2968	3139
486	2981	3140
487	2993	3141
488	3011	3146
489	3020	3143
490	3030	3141
491	3042	3141
492	3050	3136
493	3057	3132
494	3067	3129
495	3075	3124
496	3081	3118
497	3087	3112
498	3094	3106
499	3100	3100
500	3116	3103
501	3125	3101
502	3133	3095
503	3147	3097
504	3158	3095
505	3167	3092
506	3176	3089
507	3189	3089
508	3197	3084
509	3203	3077
510	3214	3076
511	3222	3071
512	3233	3069
513	3239	3063
514	3244	3055
515	3252	3050
516	3258	3044
517	3264	3037
518	3271	3031
519	3277	3025
520	3289	3023
521	3294	3016
522	3299	3009
523	3306	3003
524	3312	2997
525	3319	2991
526	3325	2984
527	3332	2979
528	3339	2973
529	3344	2965
530	3350	2959
531	3358	2954
532	3365	2948
533	3374	2944
534	3381	2938
535	3387	2932
536	3394	2927
537	3399	2919
538	3405	2912
539	3410	2904
540	3414	2897
541	3419	2889
542	3423	2881
543	3429	2874
544	3435	2867
545	3439	2860
546	3444	2852
547	3448	2844
548	3453	2836
549	3457	2828
550	3462	2821
551	3466	2813
552	3470	2805
553	3475	2797
554	3479	2789
555	3485	2783
556	3489	2775
557	3494	2767
558	3498	2759
559	3502	2752
560	3508	2745
561	3516	2740
562	3522	2734
563	3534	2732
564	3541	2726
565	3548	2721
566	3556	2715
567	3564	2710
568	3573	2706
569	3578	2699
570	3583	2692
571	3592	2688
572	3601	2684
573	3607	2677
574	3614	2671
575	3623	2667
576	3634	2664
577	3640	2657
578	3647	2652
579	3658	2649
580	3669	2646
581	3676	2640
582	3682	2634
583	3692	2630
584	3700	2625
585	3707	2619
586	3715	2614
587	3725	2610
588	3733	2605
589	3738	2597
590	3743	2590
591	3751	2585
592	3758	2579
593	3764	2573
594	3769	2565
595	3773	2558
596	3782	2553
597	3788	2546
598	3793	2539
599	3798	2532
600	3802	2524
601	3806	2516
602	3811	2509
603	3816	2502
604	3820	2494
605	3825	2487
606	3830	2479
607	3834	2472
608	3839	2464
609	3843	2457
610	3848	2449
611	3852	2442
612	3857	2435
613	3862	2428
614	3866	2420
615	3871	2413
616	3876	2406
617	3880	2398
618	3884	2391
619	3891	2385
620	3896	2377
621	3900	2370
622	3905	2363
623	3909	2355
624	3914	2348
625	3919	2341
626	3923	2334
627	3929	2327
628	3934	2320
629	3939	2313
630	3945	2306
631	3951	2300
632	3955	2293
633	3960	2286
634	3965	2279
635	3975	2275
636	3985	2271
637	3992	2265
638	4000	2259
639	4015	2258
640	4024	2253
641	4033	2249
642	4043	2245
643	4052	2240
644	4060	2234
645	4071	2231
646	4081	2226
647	4088	2220
648	4097	2216
649	4106	2210
650	4115	2206
651	4120	2199
652	4127	2193
653	4136	2188
654	4143	2182
655	4151	2177
656	4159	2171
657	4164	2164
658	4168	2157
659	4173	2149
660	4177	2142
661	4181	2134
662	4185	2127
663	4190	2120
664	4194	2113
665	4198	2105
666	4202	2098
667	4207	2091
668	4211	2083
669	4215	2076
670	4220	2069
671	4225	2062
672	4229	2055
673	4233	2047
674	4238	2040
675	4242	2033
676	4246	2025
677	4250	2018
678	4254	2011
679	4258	2004
680	4262	1996
681	4266	1989
682	4272	1982
683	4276	1975
684	4280	1968
685	4285	1961
686	4289	1954
687	4293	1946
688	4297	1939
689	4301	1932
690	4305	1925
691	4309	1918
692	4313	1910
693	4318	1904
694	4322	1897
695	4327	1890
696	4332	1883
697	4340	1877
698	4347	1872
699	4352	1865
700	4356	1858
701	4360	1851
702	4365	1844
703	4369	1837
704	4372	1829
705	4378	1823
706	4382	1816
707	4390	1810
708	4395	1804
709	4405	1799
710	4415	1794
711	4422	1788
712	4427	1782
713	4436	1777
714	4444	1771
715	4450	1765
716	4457	1759
717	4466	1754
718	4477	1749
719	4482	1743
720	4492	1738
721	4499	1732
722	4508	1727
723	4514	1721
724	4520	1714
725	4529	1709
726	4536	1703
727	4543	1697
728	4549	1691
729	4561	1687
730	4569	1681
731	4575	1675
732	4580	1668
733	4586	1662
734	4594	1656
735	4603	1651
736	4607	1644
737	4611	1637
738	4616	1630
739	4623	1624
740	4629	1618
741	4634	1611
742	4638	1604
743	4641	1597
744	4646	1590
745	4651	1583
746	4656	1577
747	4660	1570
748	4665	1563
749	4669	1556
750	4673	1549
751	4677	1542
752	4681	1535
753	4685	1528
754	4689	1521
755	4693	1514
756	4698	1508
757	4702	1501
758	4707	1494
759	4711	1487
760	4716	1481
761	4722	1474
762	4732	1469
763	4737	1463
764	4742	1456
765	4746	1450
766	4751	1443
767	4755	1436
768	4760	1429
769	4764	1423
770	4769	1416
771	4773	1409
772	4779	1403
773	4786	1397
774	4794	1391
775	4803	1386
776	4809	1380
777	4815	1374
778	4822	1368
779	4831	1362
780	4839	1357
781	4846	1351
782	4853	1345
783	4861	1339
784	4870	1333
785	4875	1327
786	4881	1321
787	4890	1315
788	4900	1310
789	4905	1304
790	4910	1297
791	4917	1291
792	4926	1286
793	4935	1280
794	4940	1274
795	4946	1267
796	4955	1262
797	4960	1255
798	4965	1249
799	4969	1242
800	4973	1235
801	4977	1228
802	4986	1223
803	4991	1216
804	4996	1210
805	5000	1203
806	5004	1196
807	5008	1190
808	5012	1183
809	5016	1176
810	5020	1170
811	5024	1163
812	5029	1156
813	5032	1150
814	5036	1143
815	5040	1136
816	5045	1130
817	5049	1123
818	5052	1116
819	5056	1110
820	5061	1103
821	5065	1096
822	5069	1090
823	5073	1083
824	5078	1077
825	5082	1070
826	5086	1064
827	5091	1057
828	5096	1051
829	5101	1044
830	5108	1038
831	5116	1033
832	5120	1026
833	5125	1020
834	5128	1013
835	5132	1006
836	5137	1000
837	5141	993
838	5145	987
839	5149	980
840	5153	974
841	5157	967
842	5161	961
843	5166	954
844	5170	948
845	5175	942
846	5182	936
847	5188	929
848	5192	923
849	5196	917
850	5200	910
851	5205	904
852	5209	897
853	5213	891
854	5217	884
855	5221	878
856	5225	871
857	5229	865
858	5233	859
859	5237	852
860	5241	846
861	5245	839
862	5250	833
863	5254	827
864	5258	820
865	5262	814
866	5267	808
867	5271	801
868	5276	795
869	5281	789
870	5286	782
871	5290	776
872	5296	770
873	5303	764
874	5308	758
875	5313	752
876	5317	745
877	5321	739
878	5325	733
879	5330	726
880	5333	720
881	5337	714
882	5342	707
883	5346	701
884	5350	695
885	5354	688
886	5358	682
887	5362	676
888	5366	670
889	5371	663
890	5376	657
891	5381	651
892	5385	645
893	5389	639
894	5394	632
895	5397	626
896	5401	620
897	5406	614
898	5410	607
899	5414	601
900	5418	595
901	5423	589
902	5428	583
903	5431	576
904	5435	570
905	5440	564
906	5444	558
907	5448	552
908	5451	545
909	5456	539
910	5460	533
911	5464	527
912	5469	521
913	5474	515
914	5478	508
915	5481	502
916	5486	496
917	5490	490
918	5497	484
919	5504	478
920	5508	472
921	5512	466
922	5516	460
923	5521	454
924	5525	448
925	5529	441
926	5533	435
927	5538	429
928	5542	423
929	5545	417
930	5551	411
931	5556	405
932	5560	399
933	5565	393
934	5569	387
935	5572	381
936	5577	374
937	5581	368
938	5585	362
939	5589	356
940	5594	350
941	5599	344
942	5604	338
943	5609	332
944	5613	326
945	5618	320
946	5622	314
947	5626	308
948	5630	302
949	5634	296
950	5638	290
951	5642	284
952	5646	278
953	5650	272
954	5654	266
955	5658	260
956	5663	254
957	5668	248
958	5672	242
959	5677	236
960	5682	230
961	5687	224
962	5695	218
963	5700	212
964	5704	206
965	5708	200
966	5712	194
967	5717	188
968	5721	183
969	5725	177
970	5729	171
971	5734	165
972	5738	159
973	5742	153
974	5746	147
975	5751	141
976	5755	135
977	5761	129
978	5766	123
979	5769	117
980	5774	111
981	5778	105
982	5782	99
983	5785	94
984	5790	88
985	5794	82
986	5797	76
987	5801	70
988	5806	64
989	5810	58
990	5814	52
991	5818	46
992	5823	41
993	5827	35
994	5831	29
995	5835	23
996	5839	17
997	5843	11
998	5848	5
999	5852	0
